-- Logs begin at Tue 2019-10-22 12:00:32 UTC, end at Wed 2019-10-23 09:55:54 UTC. --
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.485110 W | wal: sync duration of 9.78373307s, expected less than 1s
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.491490 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (9.757371127s) to execute
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.491808 W | etcdserver: failed to revoke 4f0b6df35875ebff ("lease not found")
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.492056 W | etcdserver: failed to revoke 4f0b6df35875ebff ("lease not found")
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.492120 W | etcdserver: failed to revoke 4f0b6df35875ebff ("lease not found")
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.492280 W | etcdserver: failed to revoke 4f0b6df35875ebff ("lease not found")
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508165 W | etcdserver: failed to revoke 4f0b6df35875ebff ("lease not found")
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508255 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (2.84912927s) to execute
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508308 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (9.64314973s) to execute
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508422 W | etcdserver: failed to revoke 4f0b6df35875ebff ("lease not found")
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508446 W | etcdserver: failed to revoke 4f0b6df35875ebff ("lease not found")
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508460 W | etcdserver: failed to revoke 4f0b6df35875ebff ("lease not found")
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508476 W | etcdserver: failed to revoke 4f0b6df35875ebff ("lease not found")
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508488 W | etcdserver: failed to revoke 4f0b6df35875ebff ("lease not found")
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508503 W | etcdserver: failed to revoke 4f0b6df35875ebff ("lease not found")
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508517 W | etcdserver: failed to revoke 4f0b6df35875ebff ("lease not found")
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508538 W | etcdserver: failed to revoke 4f0b6df35875ebff ("lease not found")
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508604 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (118.166824ms) to execute
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508726 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (2.864664664s) to execute
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508805 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/metrics\" range_end:\"/registry/config.istio.io/metrict\" count_only:true " with result "range_response_count:0 size:9" took too long (1.841601959s) to execute
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508824 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-tsfjz\" " with result "range_response_count:1 size:2314" took too long (1.510679998s) to execute
Oct 23 09:34:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 09:34:16.508932 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (242.236196ms) to execute
