-- Logs begin at Sat 2019-11-09 17:59:19 UTC, end at Mon 2019-11-11 23:40:03 UTC. --
Nov 11 23:19:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:19:46.279788 W | wal: sync duration of 2.038489363s, expected less than 1s
Nov 11 23:19:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:19:46.306623 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (2.064349137s) to execute
Nov 11 23:19:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:19:46.307103 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (2.032074285s) to execute
Nov 11 23:19:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:19:46.307473 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-7w4j2.15d63efa3e6a4a2b\" " with result "range_response_count:1 size:590" took too long (1.304242226s) to execute
Nov 11 23:20:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:20:37.153398 I | mvcc: store.index: compact 37860434
Nov 11 23:20:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:20:37.159248 I | mvcc: finished scheduled compaction at 37860434 (took 4.782666ms)
Nov 11 23:21:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:21:25.930682 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-7w4j2.15d63edf212aa4d1\" " with result "range_response_count:1 size:550" took too long (595.485983ms) to execute
Nov 11 23:21:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:21:25.930723 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-n6t58\" " with result "range_response_count:1 size:1731" took too long (558.739099ms) to execute
Nov 11 23:21:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:21:25.930928 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (279.653763ms) to execute
Nov 11 23:21:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:21:30.217730 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (330.658185ms) to execute
Nov 11 23:21:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:21:30.243288 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (247.390886ms) to execute
Nov 11 23:22:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:22:28.039545 W | etcdserver: request "header:<ID:14919139277667044290 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:37861475 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (141.693675ms) to execute
Nov 11 23:22:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:22:28.039804 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-w8g7q\" " with result "range_response_count:1 size:1118" took too long (155.593029ms) to execute
Nov 11 23:22:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:22:29.822471 W | etcdserver: request "header:<ID:14919139277667044309 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-bzx4b.15d63f236ee27f38\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-bzx4b.15d63f236ee27f38\" value_size:456 lease:5695767240812268453 >> failure:<>>" with result "size:20" took too long (380.160866ms) to execute
Nov 11 23:22:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:22:49.732830 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (320.55434ms) to execute
Nov 11 23:22:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:22:49.732971 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (240.683348ms) to execute
Nov 11 23:23:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:23:09.873013 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (679.317387ms) to execute
Nov 11 23:23:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:23:44.071639 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (287.814638ms) to execute
Nov 11 23:23:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:23:44.072093 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (350.843915ms) to execute
Nov 11 23:24:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:24:04.388542 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (113.244809ms) to execute
Nov 11 23:24:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:24:04.389054 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (128.309927ms) to execute
Nov 11 23:25:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:25:37.199142 I | mvcc: store.index: compact 37861169
Nov 11 23:25:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:25:37.205705 I | mvcc: finished scheduled compaction at 37861169 (took 5.398732ms)
Nov 11 23:26:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:26:10.804111 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1406" took too long (164.978342ms) to execute
Nov 11 23:26:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:26:28.323872 W | etcdserver: request "header:<ID:14919139277667046564 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:37862186 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (105.87303ms) to execute
Nov 11 23:26:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:26:28.343361 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9fvfk\" " with result "range_response_count:1 size:1121" took too long (118.342363ms) to execute
