-- Logs begin at Tue 2019-10-22 12:00:32 UTC, end at Wed 2019-10-23 07:46:20 UTC. --
Oct 23 07:24:43 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:24:43.327906 W | wal: sync duration of 1.008435597s, expected less than 1s
Oct 23 07:24:43 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:24:43.331156 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (891.528843ms) to execute
Oct 23 07:24:43 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:24:43.335560 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (637.825617ms) to execute
Oct 23 07:24:43 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:24:43.336052 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (373.404744ms) to execute
Oct 23 07:24:43 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:24:43.336310 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (397.071493ms) to execute
Oct 23 07:24:45 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:24:45.015812 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (392.262275ms) to execute
Oct 23 07:24:49 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:24:49.281288 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (689.169793ms) to execute
Oct 23 07:25:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:25:13.758460 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (298.414183ms) to execute
Oct 23 07:25:46 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:25:46.003885 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (100.932751ms) to execute
Oct 23 07:25:52 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:25:52.442763 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (406.541523ms) to execute
Oct 23 07:25:58 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:25:58.970475 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (332.94353ms) to execute
Oct 23 07:25:58 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:25:58.970511 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (415.129921ms) to execute
Oct 23 07:25:58 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:25:58.970592 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (420.300906ms) to execute
Oct 23 07:26:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:15.068977 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (531.980627ms) to execute
Oct 23 07:26:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:15.778190 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.172973072s) to execute
