-- Logs begin at Wed 2019-09-25 21:44:06 UTC, end at Fri 2019-09-27 16:38:11 UTC. --
Sep 27 16:16:41 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:16:41.470212 I | mvcc: store.index: compact 30573261
Sep 27 16:16:41 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:16:41.477815 I | mvcc: finished scheduled compaction at 30573261 (took 4.976923ms)
Sep 27 16:16:41 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:16:41.627211 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:274" took too long (145.620611ms) to execute
Sep 27 16:17:27 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:17:27.742061 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (691.486868ms) to execute
Sep 27 16:17:27 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:17:27.751024 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (356.538017ms) to execute
Sep 27 16:18:37 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:18:37.738405 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (480.347786ms) to execute
Sep 27 16:19:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:19:19.722821 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (104.050087ms) to execute
Sep 27 16:19:49 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:19:49.338751 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (148.274232ms) to execute
Sep 27 16:20:30 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:20:30.414075 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (115.562872ms) to execute
Sep 27 16:20:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:20:32.207055 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lvsn2\" " with result "range_response_count:1 size:1735" took too long (131.58148ms) to execute
Sep 27 16:21:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:21:32.786446 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:255" took too long (653.557322ms) to execute
Sep 27 16:21:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:21:32.789145 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:1456" took too long (653.122634ms) to execute
