-- Logs begin at Thu 2020-01-30 08:00:47 UTC, end at Sat 2020-02-01 06:20:28 UTC. --
Feb 01 05:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:57:33.141457 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/virtualservices.networking.istio.io\" " with result "range_response_count:1 size:3866" took too long (108.752221ms) to execute
Feb 01 05:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:57:33.141821 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/serviceentries/\" range_end:\"/registry/networking.istio.io/serviceentries0\" " with result "range_response_count:0 size:7" took too long (106.149487ms) to execute
Feb 01 05:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:57:33.141882 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/destinationrules/\" range_end:\"/registry/networking.istio.io/destinationrules0\" " with result "range_response_count:0 size:7" took too long (117.941012ms) to execute
Feb 01 05:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:57:33.145775 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/gateways.networking.istio.io\" " with result "range_response_count:1 size:2441" took too long (108.827518ms) to execute
Feb 01 05:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:57:33.395011 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/envoyfilters/\" range_end:\"/registry/networking.istio.io/envoyfilters0\" " with result "range_response_count:0 size:7" took too long (163.63712ms) to execute
Feb 01 05:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:57:33.395092 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/destinationrules.networking.istio.io\" " with result "range_response_count:1 size:3559" took too long (166.641552ms) to execute
Feb 01 05:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:57:33.426386 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/gateways.networking.istio.io\" " with result "range_response_count:1 size:2621" took too long (183.781709ms) to execute
Feb 01 05:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:57:33.618632 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/meshpolicies.authentication.istio.io\" " with result "range_response_count:1 size:2487" took too long (156.595492ms) to execute
Feb 01 05:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:57:33.619003 W | etcdserver: request "header:<ID:14919139277751027273 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/10.0.0.8\" mod_revision:53126338 > success:<request_put:<key:\"/registry/masterleases/10.0.0.8\" value_size:64 lease:5695767240896251461 >> failure:<request_range:<key:\"/registry/masterleases/10.0.0.8\" > >>" with result "size:20" took too long (122.316886ms) to execute
Feb 01 05:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:57:33.619255 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/clusterrbacconfigs/\" range_end:\"/registry/rbac.istio.io/clusterrbacconfigs0\" " with result "range_response_count:0 size:7" took too long (137.793061ms) to execute
Feb 01 05:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:57:33.619710 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/gateways.networking.istio.io\" " with result "range_response_count:1 size:2621" took too long (137.925642ms) to execute
Feb 01 05:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:57:33.621595 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/policies/\" range_end:\"/registry/authentication.istio.io/policies0\" " with result "range_response_count:1 size:937" took too long (139.922554ms) to execute
Feb 01 05:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:57:33.621671 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/envoyfilters.networking.istio.io\" " with result "range_response_count:1 size:2613" took too long (139.945769ms) to execute
Feb 01 05:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:57:33.851916 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/httpapispecs.config.istio.io\" " with result "range_response_count:1 size:2395" took too long (158.440035ms) to execute
