-- Logs begin at Tue 2019-12-17 08:44:24 UTC, end at Wed 2019-12-18 21:36:02 UTC. --
Dec 18 21:13:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:13:13.248428 N | compactor: Starting auto-compaction at revision 44801856
Dec 18 21:13:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:13:13.368104 W | wal: sync duration of 1.362468722s, expected less than 1s
Dec 18 21:13:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:13:13.371687 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.35927505s) to execute
Dec 18 21:13:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:13:13.371864 N | compactor: Finished auto-compaction at revision 44801856
Dec 18 21:13:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:13:13.381616 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (324.599148ms) to execute
Dec 18 21:13:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:13:13.381739 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (608.661832ms) to execute
Dec 18 21:13:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:13:13.381923 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.172234696s) to execute
Dec 18 21:13:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:13:13.382089 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/clusterrbacconfigs\" range_end:\"/registry/rbac.istio.io/clusterrbacconfigt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.318004107s) to execute
Dec 18 21:13:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:13:27.664406 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (149.738585ms) to execute
Dec 18 21:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:13:28.384588 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (287.488516ms) to execute
Dec 18 21:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 21:13:28.384778 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/solarwindses\" range_end:\"/registry/config.istio.io/solarwindset\" count_only:true " with result "range_response_count:0 size:7" took too long (585.67177ms) to execute
