-- Logs begin at Tue 2019-12-17 17:51:17 UTC, end at Thu 2019-12-19 06:16:42 UTC. --
Dec 19 05:54:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:54:32.832338 I | etcdserver: start to snapshot (applied: 49576099, lastsnap: 49566098)
Dec 19 05:54:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:54:32.896922 I | etcdserver: saved snapshot at index 49576099
Dec 19 05:54:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:54:32.897392 I | etcdserver: compacted raft log at 49571099
Dec 19 05:54:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:54:44.335881 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002f3b54a.snap successfully
Dec 19 05:55:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:55:48.117132 I | mvcc: store.index: compact 44972477
Dec 19 05:55:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:55:48.128306 I | mvcc: finished scheduled compaction at 44972477 (took 5.294205ms)
Dec 19 05:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:56:37.234832 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (194.693537ms) to execute
Dec 19 05:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:56:37.235103 W | etcdserver: request "header:<ID:14919139277707241202 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-2dsw7.15e1b0203c515176\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-2dsw7.15e1b0203c515176\" value_size:444 lease:5695767240852464847 >> failure:<>>" with result "size:20" took too long (154.015851ms) to execute
Dec 19 05:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:56:37.253874 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (195.498388ms) to execute
Dec 19 05:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:56:37.254048 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (193.622136ms) to execute
Dec 19 05:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:56:37.254283 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-2dsw7\" " with result "range_response_count:1 size:2738" took too long (179.455555ms) to execute
Dec 19 05:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:56:37.280731 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4430" took too long (146.065045ms) to execute
Dec 19 05:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:56:37.484888 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (190.180988ms) to execute
Dec 19 05:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:56:37.484955 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-ns76z\" " with result "range_response_count:1 size:2738" took too long (172.606541ms) to execute
Dec 19 05:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:56:37.486570 W | etcdserver: request "header:<ID:14919139277707241221 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" mod_revision:44974252 > success:<request_put:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" value_size:1553 >> failure:<request_range:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" > >>" with result "size:20" took too long (146.592377ms) to execute
Dec 19 05:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:56:37.486878 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (161.614469ms) to execute
Dec 19 05:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:56:52.191946 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (138.776518ms) to execute
Dec 19 05:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:56:52.191994 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (135.074538ms) to execute
Dec 19 05:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:56:52.192217 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (137.377843ms) to execute
Dec 19 05:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:56:52.192328 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-shhhz\" " with result "range_response_count:1 size:2738" took too long (136.459795ms) to execute
Dec 19 05:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:56:52.192529 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (136.570294ms) to execute
Dec 19 05:57:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:57:26.323230 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (605.551587ms) to execute
Dec 19 05:57:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:57:26.323508 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (786.521824ms) to execute
Dec 19 05:57:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:57:26.323721 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (1.534366109s) to execute
Dec 19 05:57:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:57:26.323811 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (338.584127ms) to execute
Dec 19 05:57:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:57:26.324075 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:4620" took too long (1.386712016s) to execute
Dec 19 05:57:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:57:26.324701 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (1.077898961s) to execute
Dec 19 05:58:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:58:57.535971 W | etcdserver: request "header:<ID:14919139277707242907 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-jff7v\" mod_revision:44974818 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-jff7v\" value_size:2870 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-jff7v\" > >>" with result "size:20" took too long (110.018794ms) to execute
Dec 19 05:58:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:58:57.537373 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9s5sc\" " with result "range_response_count:1 size:2946" took too long (107.679691ms) to execute
Dec 19 05:58:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:58:57.754743 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (131.567845ms) to execute
Dec 19 06:00:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:00:42.833968 W | etcdserver: request "header:<ID:14919139277707244068 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-wgbrc\" mod_revision:44975080 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-wgbrc\" value_size:3504 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-wgbrc\" > >>" with result "size:20" took too long (133.005829ms) to execute
Dec 19 06:00:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:00:48.134090 I | mvcc: store.index: compact 44974275
Dec 19 06:00:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:00:48.144101 I | mvcc: finished scheduled compaction at 44974275 (took 8.630717ms)
Dec 19 06:00:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:00:49.533350 W | etcdserver: request "header:<ID:14919139277707244179 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:44975057 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (1.047887669s) to execute
Dec 19 06:00:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:00:49.556526 W | wal: sync duration of 1.071262029s, expected less than 1s
Dec 19 06:00:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:00:49.556766 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-frm9l\" " with result "range_response_count:1 size:4173" took too long (817.125594ms) to execute
Dec 19 06:00:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:00:49.591797 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (327.354147ms) to execute
Dec 19 06:00:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:00:49.591872 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (302.112713ms) to execute
Dec 19 06:00:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:00:49.591957 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1428" took too long (651.324246ms) to execute
Dec 19 06:00:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:00:49.755658 W | etcdserver: request "header:<ID:14919139277707244189 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-wgbrc\" mod_revision:44975137 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-wgbrc\" value_size:4073 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-wgbrc\" > >>" with result "size:20" took too long (117.967616ms) to execute
