-- Logs begin at Fri 2019-11-01 16:26:07 UTC, end at Mon 2019-11-04 07:16:40 UTC. --
Nov 04 06:54:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:54:42.211301 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000511-00000000025f02c4.wal is created
Nov 04 06:55:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:55:07.860496 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/000000000000050c-00000000025c8754.wal successfully
Nov 04 06:56:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:56:25.083662 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-tshgj\" " with result "range_response_count:1 size:3115" took too long (108.745356ms) to execute
Nov 04 06:56:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:56:25.084138 W | etcdserver: request "header:<ID:14919139277659891653 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-ncdkh\" mod_revision:36033543 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-ncdkh\" value_size:3033 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-ncdkh\" > >>" with result "size:20" took too long (108.224244ms) to execute
Nov 04 06:56:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:56:25.084683 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (105.279536ms) to execute
Nov 04 06:56:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:56:25.318047 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (138.54664ms) to execute
Nov 04 06:56:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:56:25.318767 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (132.002723ms) to execute
Nov 04 06:56:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:56:25.318853 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (134.907157ms) to execute
Nov 04 06:56:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:56:25.321134 W | etcdserver: request "header:<ID:14919139277659891676 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:36040123 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6101 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (131.906761ms) to execute
Nov 04 06:56:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:56:25.338208 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/instances\" range_end:\"/registry/config.istio.io/instancet\" count_only:true " with result "range_response_count:0 size:7" took too long (138.21427ms) to execute
Nov 04 06:56:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:56:25.341894 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-tshgj\" " with result "range_response_count:1 size:3127" took too long (138.346143ms) to execute
Nov 04 06:56:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:56:40.290956 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (180.998324ms) to execute
Nov 04 06:56:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:56:40.291039 W | etcdserver: request "header:<ID:14919139277659891857 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" mod_revision:36040176 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" value_size:2647 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" > >>" with result "size:20" took too long (148.725584ms) to execute
Nov 04 06:56:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:56:40.291357 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (180.946073ms) to execute
Nov 04 06:56:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:56:40.310751 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-mj8q6\" " with result "range_response_count:1 size:2738" took too long (150.675311ms) to execute
Nov 04 06:56:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:56:40.525887 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (131.401608ms) to execute
Nov 04 06:57:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:57:06.127059 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (220.0372ms) to execute
Nov 04 06:57:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:57:06.127181 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6163" took too long (217.234726ms) to execute
Nov 04 06:57:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:57:32.970934 I | mvcc: store.index: compact 36039407
Nov 04 06:57:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:57:32.979328 I | mvcc: finished scheduled compaction at 36039407 (took 6.961551ms)
Nov 04 07:00:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:00:32.548415 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (195.933453ms) to execute
Nov 04 07:00:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:00:32.871818 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (443.98449ms) to execute
Nov 04 07:01:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:01:20.777787 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-xmdj7\" " with result "range_response_count:1 size:2314" took too long (222.662597ms) to execute
Nov 04 07:01:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:01:20.779612 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (140.782271ms) to execute
Nov 04 07:02:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:02:03.585096 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (203.742045ms) to execute
Nov 04 07:02:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:02:03.585315 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (177.927015ms) to execute
Nov 04 07:02:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:02:33.025445 I | mvcc: store.index: compact 36040331
Nov 04 07:02:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:02:33.033395 I | mvcc: finished scheduled compaction at 36040331 (took 6.1361ms)
