-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 04:06:47 UTC. --
Nov 05 03:46:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:46:18.779081 N | compactor: Starting auto-compaction at revision 36152226
Nov 05 03:46:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:46:18.779574 N | compactor: Finished auto-compaction at revision 36152226
Nov 05 03:47:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:47:46.576907 I | mvcc: store.index: compact 36224899
Nov 05 03:47:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:47:46.584526 I | mvcc: finished scheduled compaction at 36224899 (took 5.429485ms)
Nov 05 03:47:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:47:46.839560 W | etcdserver: request "header:<ID:14919139277660586611 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:36225703 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (224.645157ms) to execute
Nov 05 03:49:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:49:19.066872 W | wal: sync duration of 1.001680718s, expected less than 1s
Nov 05 03:49:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:49:19.075430 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (775.717265ms) to execute
Nov 05 03:49:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:49:19.111050 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (345.588727ms) to execute
Nov 05 03:49:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:49:23.598460 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (255.501167ms) to execute
Nov 05 03:49:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:49:23.602626 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (222.734531ms) to execute
Nov 05 03:49:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:49:29.725675 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (567.53479ms) to execute
Nov 05 03:49:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:49:29.732883 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (573.032195ms) to execute
Nov 05 03:49:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:49:34.675948 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (882.131728ms) to execute
Nov 05 03:49:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:49:34.676081 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-sh2jk.15d427754177c6da\" " with result "range_response_count:1 size:592" took too long (518.032827ms) to execute
Nov 05 03:49:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:49:34.676304 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (271.22362ms) to execute
Nov 05 03:49:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:49:39.984435 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (189.80385ms) to execute
Nov 05 03:49:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:49:45.656141 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (133.520109ms) to execute
Nov 05 03:49:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:49:45.685915 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:2101" took too long (125.516628ms) to execute
Nov 05 03:49:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:49:45.686175 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:256" took too long (134.700073ms) to execute
Nov 05 03:50:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:50:02.602840 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (505.865897ms) to execute
