-- Logs begin at Wed 2019-12-18 19:54:41 UTC, end at Fri 2019-12-20 08:27:39 UTC. --
Dec 20 08:06:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:06:04.785321 I | etcdserver: start to snapshot (applied: 49866129, lastsnap: 49856128)
Dec 20 08:06:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:06:04.890545 I | etcdserver: saved snapshot at index 49866129
Dec 20 08:06:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:06:04.891578 I | etcdserver: compacted raft log at 49861129
Dec 20 08:06:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:06:07.536561 I | mvcc: store.index: compact 45240790
Dec 20 08:06:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:06:07.547068 I | mvcc: finished scheduled compaction at 45240790 (took 8.222603ms)
Dec 20 08:06:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:06:15.989625 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002f8223c.snap successfully
Dec 20 08:08:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:08:32.548430 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (153.781964ms) to execute
Dec 20 08:08:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:08:32.548766 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4zs72\" " with result "range_response_count:1 size:1118" took too long (153.679667ms) to execute
Dec 20 08:08:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:08:32.548891 W | etcdserver: request "header:<ID:14919139277708287876 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-788sv.15e205e7bc94d510\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-788sv.15e205e7bc94d510\" value_size:392 lease:5695767240853511942 >> failure:<>>" with result "size:20" took too long (133.947473ms) to execute
Dec 20 08:08:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:08:32.548921 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-788sv\" " with result "range_response_count:1 size:1121" took too long (142.51505ms) to execute
Dec 20 08:08:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:08:32.549088 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (143.74096ms) to execute
Dec 20 08:09:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:09:32.593528 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e205f5b69e22ba\" " with result "range_response_count:1 size:485" took too long (137.491278ms) to execute
Dec 20 08:09:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:09:32.628723 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5b4b2\" " with result "range_response_count:1 size:1118" took too long (156.413317ms) to execute
Dec 20 08:09:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:09:32.628882 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vn9ns\" " with result "range_response_count:1 size:1121" took too long (162.265909ms) to execute
Dec 20 08:09:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:09:32.864148 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-frb25\" " with result "range_response_count:1 size:1121" took too long (196.734314ms) to execute
Dec 20 08:09:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:09:32.864343 W | etcdserver: request "header:<ID:14919139277708288439 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e205f5b69e22ba\" mod_revision:45243966 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e205f5b69e22ba\" value_size:386 lease:5695767240853512583 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15e205f5b69e22ba\" > >>" with result "size:20" took too long (166.058014ms) to execute
