-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 08:53:21 UTC. --
Oct 10 08:32:18 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:32:18.729477 N | compactor: Starting auto-compaction at revision 32009669
Oct 10 08:32:18 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:32:18.729884 N | compactor: Finished auto-compaction at revision 32009669
Oct 10 08:32:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:32:21.713561 I | mvcc: store.index: compact 32068941
Oct 10 08:32:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:32:21.721616 I | mvcc: finished scheduled compaction at 32068941 (took 6.955687ms)
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.168434 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (723.091372ms) to execute
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.187495 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (581.329539ms) to execute
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.187579 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (373.061663ms) to execute
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.187739 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (210.620901ms) to execute
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.187803 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:34525" took too long (686.787005ms) to execute
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.187920 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/adapters\" range_end:\"/registry/config.istio.io/adaptert\" count_only:true " with result "range_response_count:0 size:7" took too long (714.373983ms) to execute
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.399293 W | etcdserver: request "header:<ID:14919138748426606816 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" mod_revision:32070854 > success:<request_put:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" value_size:1571 >> failure:<request_range:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" > >>" with result "size:20" took too long (130.52276ms) to execute
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.399573 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (142.595674ms) to execute
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.399833 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6199" took too long (141.349561ms) to execute
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.651405 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (185.523458ms) to execute
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.651471 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (186.827054ms) to execute
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.651829 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (185.121961ms) to execute
