-- Logs begin at Thu 2019-09-26 08:24:48 UTC, end at Fri 2019-09-27 22:18:38 UTC. --
Sep 27 21:56:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:44.298581 W | etcdserver: request "header:<ID:14919135698845689124 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15c86a59d1739797\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15c86a59d1739797\" value_size:354 lease:5695763661990913290 >> failure:<>>" with result "size:20" took too long (138.143479ms) to execute
Sep 27 21:56:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:44.299165 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (141.449504ms) to execute
Sep 27 21:56:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:44.332898 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-z8xmp\" " with result "range_response_count:1 size:1118" took too long (157.529995ms) to execute
Sep 27 21:56:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:44.332950 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9mksb\" " with result "range_response_count:1 size:1121" took too long (166.122829ms) to execute
Sep 27 21:56:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:44.333198 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (173.280797ms) to execute
Sep 27 21:56:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:44.333476 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (173.331803ms) to execute
Sep 27 21:56:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:44.528333 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rvnhf\" " with result "range_response_count:1 size:1118" took too long (155.789539ms) to execute
Sep 27 21:56:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:44.528382 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nz4nz\" " with result "range_response_count:1 size:1121" took too long (156.639271ms) to execute
Sep 27 21:56:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:44.528562 W | etcdserver: request "header:<ID:14919135698845689151 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15c86a59db895ad7\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15c86a59db895ad7\" value_size:354 lease:5695763661990913290 >> failure:<>>" with result "size:20" took too long (125.317289ms) to execute
Sep 27 21:56:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:44.542908 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-m265b\" " with result "range_response_count:1 size:1121" took too long (153.336402ms) to execute
Sep 27 21:56:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:44.543186 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (152.875143ms) to execute
Sep 27 21:56:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:46.188844 I | mvcc: store.index: compact 30639566
Sep 27 21:56:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:46.195998 I | mvcc: finished scheduled compaction at 30639566 (took 5.702524ms)
Sep 27 21:56:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:46.423443 W | etcdserver: request "header:<ID:14919135698845689208 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-2wzrr.15c86a4f22927285\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-2wzrr.15c86a4f22927285\" value_size:453 lease:5695763661990913290 >> failure:<>>" with result "size:20" took too long (132.484216ms) to execute
Sep 27 21:56:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:47.034073 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/kube-proxy\" " with result "range_response_count:1 size:228" took too long (509.827626ms) to execute
Sep 27 21:56:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:47.034426 W | etcdserver: request "header:<ID:14919135698845689228 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-rvnhf.15c86a4f31403cb3\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-rvnhf.15c86a4f31403cb3\" value_size:360 lease:5695763661990913290 >> failure:<>>" with result "size:20" took too long (465.623612ms) to execute
Sep 27 21:56:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:47.035837 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (198.367553ms) to execute
Sep 27 21:56:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:47.036376 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9zgls\" " with result "range_response_count:1 size:1502" took too long (486.033878ms) to execute
Sep 27 21:56:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:47.038353 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (252.187662ms) to execute
Sep 27 21:56:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:47.038483 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-29lwh\" " with result "range_response_count:1 size:1502" took too long (177.621554ms) to execute
Sep 27 21:56:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:47.039348 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (250.849777ms) to execute
Sep 27 21:56:54 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:54.282453 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (150.154297ms) to execute
Sep 27 21:56:54 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:54.282817 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (361.160771ms) to execute
Sep 27 21:56:54 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:54.283121 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (338.338164ms) to execute
Sep 27 21:56:55 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:55.262967 W | etcdserver: request "header:<ID:14919135698845689368 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:30641265 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:373 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (170.029619ms) to execute
Sep 27 21:56:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:59.516713 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (409.381895ms) to execute
Sep 27 21:56:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:59.517194 W | etcdserver: request "header:<ID:14919135698845689397 > lease_revoke:<id:4f0b6adf858be500>" with result "size:29" took too long (373.247858ms) to execute
Sep 27 21:56:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:56:59.517277 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (238.734408ms) to execute
Sep 27 21:57:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:57:02.857565 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (934.441329ms) to execute
Sep 27 21:57:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:57:02.858110 W | etcdserver: request "header:<ID:14919135698845689411 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:30641245 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (853.79869ms) to execute
Sep 27 21:57:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:57:02.859825 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:11 size:20786" took too long (715.122917ms) to execute
