-- Logs begin at Tue 2019-11-05 09:07:00 UTC, end at Fri 2019-11-08 05:51:09 UTC. --
Nov 08 05:31:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:31:12.745730 W | wal: sync duration of 1.057133955s, expected less than 1s
Nov 08 05:31:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:31:12.748382 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (132.899316ms) to execute
Nov 08 05:31:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:31:12.748448 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (462.524105ms) to execute
Nov 08 05:31:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:31:28.415915 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (139.218254ms) to execute
Nov 08 05:31:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:31:28.642411 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ljbn6\" " with result "range_response_count:1 size:1118" took too long (122.304946ms) to execute
Nov 08 05:31:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:31:28.677182 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nfvqg\" " with result "range_response_count:1 size:1121" took too long (149.260285ms) to execute
Nov 08 05:31:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:31:30.206928 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (235.51447ms) to execute
Nov 08 05:31:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:31:41.477287 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (382.184087ms) to execute
Nov 08 05:31:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:31:45.251127 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (135.300913ms) to execute
Nov 08 05:31:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:31:49.100073 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (168.386235ms) to execute
Nov 08 05:31:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:31:49.100222 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (211.757816ms) to execute
Nov 08 05:32:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:01.938665 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (788.198002ms) to execute
Nov 08 05:32:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:01.939254 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (359.251186ms) to execute
Nov 08 05:32:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:03.027409 W | wal: sync duration of 1.018923527s, expected less than 1s
Nov 08 05:32:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:03.036142 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (465.359843ms) to execute
Nov 08 05:32:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:28.554276 W | etcdserver: request "header:<ID:14919139277663477861 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d51903ad3f3594\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d51903ad3f3594\" value_size:386 lease:5695767240808702033 >> failure:<>>" with result "size:20" took too long (129.206011ms) to execute
Nov 08 05:32:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:28.572995 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7m5wf\" " with result "range_response_count:1 size:1118" took too long (147.014457ms) to execute
Nov 08 05:32:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:28.605069 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (130.599493ms) to execute
Nov 08 05:32:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:28.775997 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d51903ad3f3594\" " with result "range_response_count:1 size:485" took too long (138.714448ms) to execute
Nov 08 05:32:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:28.776146 W | etcdserver: request "header:<ID:14919139277663477883 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-28xkf\" mod_revision:36963602 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-28xkf\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-28xkf\" > >>" with result "size:20" took too long (110.13426ms) to execute
Nov 08 05:32:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:28.776247 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (118.61849ms) to execute
Nov 08 05:32:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:45.693852 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (342.728212ms) to execute
Nov 08 05:32:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:46.371119 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (131.450604ms) to execute
Nov 08 05:32:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:46.371344 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:12 size:19372" took too long (156.119906ms) to execute
Nov 08 05:32:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:53.140779 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (426.060469ms) to execute
Nov 08 05:32:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:53.141025 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (742.074519ms) to execute
Nov 08 05:32:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:55.974725 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (245.923941ms) to execute
Nov 08 05:32:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:32:58.509860 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (118.11247ms) to execute
Nov 08 05:33:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:29.402457 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (832.737836ms) to execute
Nov 08 05:33:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:29.819926 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (401.408678ms) to execute
Nov 08 05:33:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:29.952373 W | etcdserver: read-only range request "key:\"/registry/limitranges/default/\" range_end:\"/registry/limitranges/default0\" " with result "range_response_count:0 size:7" took too long (123.343418ms) to execute
Nov 08 05:33:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:29.953341 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (125.03797ms) to execute
Nov 08 05:33:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:30.733443 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (602.111036ms) to execute
Nov 08 05:33:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:30.736239 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d51903ad3f3594\" " with result "range_response_count:1 size:485" took too long (584.324954ms) to execute
Nov 08 05:33:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:30.736574 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (407.766258ms) to execute
Nov 08 05:33:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:31.815885 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (404.36943ms) to execute
Nov 08 05:33:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:31.816099 W | etcdserver: failed to revoke 4f0b6e20c7b5a1fa ("lease not found")
Nov 08 05:33:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:40.238808 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (472.610309ms) to execute
Nov 08 05:33:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:40.252885 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (289.476196ms) to execute
Nov 08 05:33:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:40.253172 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (396.494617ms) to execute
Nov 08 05:33:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:43.334271 W | wal: sync duration of 1.503598086s, expected less than 1s
Nov 08 05:33:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:43.337135 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.070903101s) to execute
Nov 08 05:33:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:43.360827 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (1.080436082s) to execute
Nov 08 05:33:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:33:43.360987 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (510.885827ms) to execute
